"Title,URL,""Downloaded (date)"",""Downloaded (UTC)"",Views,Overall,""Overall Issues"""
"Helsedirektoratet,https://www.helsedirektoratet.no/,""6 Mar 2026"",21:37:58,29750,90.3,52"
"Antibiotika i primærhelsetjenesten - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-primaerhelsetjenesten,""6 Mar 2026"",22:23:54,13599,83.6,164"
"Authorisation and licensing of health personnel - Helsedirektoratet,https://www.helsedirektoratet.no/english/authorisation-and-license-for-health-personnel,""6 Mar 2026"",22:34:50,13463,79.4,81"
"Søk om autorisasjon og lisens - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning/autorisasjon-og-lisens/sok-om-autorisasjon-og-lisens,""7 Mar 2026"",02:06:01,13387,80.5,76"
"Antibiotika i sykehus - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-sykehus,""6 Mar 2026"",21:40:47,12604,82.8,300"
"Nasjonale retningslinjer, råd, forløp og veiledere - Helsedirektoratet,https://www.helsedirektoratet.no/forebygging-diagnose-og-behandling/nasjonale-retningslinjer-rad-forlop-og-veiledere,""7 Mar 2026"",10:24:55,8491,84.4,55"
"Autorisasjon og spesialistutdanning - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning,""7 Mar 2026"",10:47:23,7360,80.4,69"
"Førerkortveileder - Helsedirektoratet,https://www.helsedirektoratet.no/veiledere/forerkortveileder,""6 Mar 2026"",21:48:20,6467,83.2,151"
"Autorisasjon og lisens - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning/autorisasjon-og-lisens,""7 Mar 2026"",01:24:24,6380,82.7,61"
"Tilskudd - Helsedirektoratet,https://www.helsedirektoratet.no/tilskudd-og-finansiering/tilskudd,""7 Mar 2026"",10:48:56,6364,88.7,95"
"Takster for tannbehandling - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/kapittel-5-stonad-ved-helsetjenester/takster-for-tannbehandling-,""7 Mar 2026"",00:14:39,6265,72.8,285"
"Kostrådene - Helsedirektoratet,https://www.helsedirektoratet.no/faglige-rad/kostradene-og-naeringsstoffer/kostrad-for-befolkningen,""6 Mar 2026"",23:33:49,5959,83.8,188"
"Kompetanseportalen - Helsedirektoratet,https://www.helsedirektoratet.no/autorisasjon-og-spesialistutdanning/spesialistutdanning-og-godkjenning-for-leger/artikler/kompetanseportalen,""7 Mar 2026"",07:49:17,5907,81,105"
"Infeksjoner i øvre luftveier - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-primaerhelsetjenesten/infeksjoner-i-ovre-luftveier,""7 Mar 2026"",00:47:19,5738,84.7,178"
"Urinveisinfeksjoner - Helsedirektoratet,https://www.helsedirektoratet.no/retningslinjer/antibiotika-i-primaerhelsetjenesten/urinveisinfeksjoner,""6 Mar 2026"",23:53:00,4735,83.9,255"
"Vedlegg 1 til folketrygdloven § 5-14 (legemiddellisten) - Helsedirektoratet,https://www.helsedirektoratet.no/rundskriv/kapittel-5-stonad-ved-helsetjenester/vedlegg-1-til--5-14-legemiddellisten,""7 Mar 2026"",01:21:58,4335,78.6,285"
"Om HPR og oppdatere fødselsnummer og manglende oppføringer i HPR - Helsedirektoratet,https://www.helsedirektoratet.no/statistikk-registre-og-rapporter/helsedata-og-helseregistre/helsepersonellregisteret-hpr,""7 Mar 2026"",02:06:32,4334,66.5,118"
